Date, Open, High, Low, Close
11/30/2020,12224.25,12244.65,12027.16,12198.74
11/27/2020,12159.18,12236.23,12154.57,12205.85
11/25/2020,12053.89,12114.77,12020.95,12094.4
11/24/2020,11939.33,12049.88,11863.45,12036.79
11/23/2020,11916.76,11949.33,11796.53,11880.63
11/20/2020,11892.7,11935.47,11852.51,11854.97
11/19/2020,11779.03,11912.63,11760.98,11904.71
11/18/2020,11896.06,11942.49,11799.96,11801.6
11/17/2020,11913.35,11950.18,11852.41,11899.34
11/16/2020,11847.11,11937.72,11814.89,11924.13
11/13/2020,11794.94,11849.78,11715.52,11829.29
11/12/2020,11802.5,11847.84,11666.38,11709.59
11/11/2020,11656.65,11793.57,11638.9,11786.43
11/10/2020,11622.44,11665.87,11424.61,11553.86
11/9/2020,12046.66,12108.07,11703.49,11713.78
11/6/2020,11869.9,11920.53,11737.13,11895.23
11/5/2020,11816.33,11924.28,11784.15,11890.93
11/4/2020,11443.77,11663.31,11394.21,11590.78
11/3/2020,11038.66,11213.92,11004.84,11160.57
11/2/2020,11010.45,11071.08,10830.94,10957.61
10/30/2020,11103.47,11129.81,10822.57,10911.59
10/29/2020,11064.47,11287.63,11030.19,11185.59
10/28/2020,11230.9,11249.94,10999.07,11004.87
10/27/2020,11409.34,11465.06,11361.86,11431.35
10/26/2020,11440.64,11545.63,11221.06,11358.94
10/23/2020,11536,11548.85,11434.86,11548.28
10/22/2020,11526.98,11548.77,11369.29,11506.01
10/21/2020,11530.39,11613.79,11476.08,11484.69
10/20/2020,11531.83,11632.89,11471.23,11516.49
10/19/2020,11732.34,11778.1,11454.57,11478.88
10/16/2020,11761.83,11827.42,11648.53,11671.56
10/15/2020,11559.88,11740.68,11559.1,11713.87
10/14/2020,11889.07,11939.92,11714.35,11768.73
10/13/2020,11901.76,11946.98,11821.83,11863.9
10/12/2020,11732.33,11965.54,11704.13,11876.26
10/9/2020,11487.6,11581.23,11476.66,11579.94
10/8/2020,11443.35,11448.23,11384.33,11420.98
10/7/2020,11271.68,11380.56,11258.35,11364.6
10/6/2020,11314.53,11392.41,11124.44,11154.6
10/5/2020,11169.1,11335.21,11162.52,11332.49
10/2/2020,11082.53,11244.87,11033.69,11075.02
10/1/2020,11291.99,11344.13,11240.53,11326.51
9/30/2020,11092.9,11277.97,11092.9,11167.51
9/29/2020,11109,11153.23,11065.63,11085.25
9/28/2020,11084.38,11120.79,11019.14,11117.53
9/25/2020,10680.46,10939.55,10639.98,10913.56
9/24/2020,10551.02,10799.56,10520.22,10672.27
9/23/2020,10950.83,10962.02,10612.91,10632.99
9/22/2020,10873.3,10979.65,10737.52,10963.64
9/21/2020,10610.14,10782.74,10519.49,10778.8
9/18/2020,10973.45,10977.68,10639.95,10793.28
9/17/2020,10796.05,10974.45,10783.81,10910.28
9/16/2020,11222.08,11245.41,11046.43,11050.47
9/15/2020,11193.96,11244.46,11127.98,11190.32
9/14/2020,11010.14,11118.28,10982.26,11056.65
9/11/2020,11010.07,11033.04,10728.03,10853.55
9/10/2020,11235.53,11299.53,10875.02,10919.59
9/9/2020,11064.76,11217.69,10970.44,11141.56
9/8/2020,10900.69,11131.5,10837.19,10847.69
9/4/2020,11396.24,11531.18,10875.87,11313.13
9/3/2020,11861.9,11894.4,11361.35,11458.1
9/2/2020,12047.26,12074.07,11836.18,12056.44
9/1/2020,11850.96,11945.72,11794.78,11939.67
8/31/2020,11718.81,11829.84,11697.41,11775.46
8/28/2020,11689.28,11708.77,11634.77,11695.63
8/27/2020,11688.19,11730.02,11551.01,11625.34
8/26/2020,11516.62,11672.05,11507.46,11665.06
8/25/2020,11370.23,11468.26,11343.04,11466.47
8/24/2020,11449.25,11462.05,11297.53,11379.72
8/21/2020,11258.44,11326.22,11245.44,11311.8
8/20/2020,11096.4,11283.62,11090.03,11264.95
8/19/2020,11214.8,11257.42,11132.1,11146.46
8/18/2020,11170.75,11230.61,11103.83,11210.84
8/17/2020,11083.25,11144.53,11080.3,11129.73
8/14/2020,11042.24,11058.44,10972.06,11019.3
8/13/2020,11026.86,11124.85,11007.5,11042.5
8/12/2020,10878.11,11036.72,10877.16,11012.24
8/11/2020,10942.66,10989.42,10762.71,10782.82
8/10/2020,11033.73,11040.24,10849.46,10968.36
8/7/2020,11072.53,11126.04,10920.37,11010.98
8/6/2020,10989.98,11121.19,10963.41,11108.07
8/5/2020,10967.87,11002.1,10943.72,10998.4
8/4/2020,10897.89,10941.91,10852.9,10941.17
8/3/2020,10848.64,10927.56,10831.15,10902.8
7/31/2020,10741.47,10747.81,10557.7,10745.27
7/30/2020,10450.12,10609.59,10412.09,10587.81
7/29/2020,10474.7,10567.91,10464,10542.94
7/28/2020,10509.2,10523.64,10397.88,10402.09
7/27/2020,10421.7,10546.43,10399.86,10536.27
7/24/2020,10294.41,10418.75,10217.31,10363.18
7/23/2020,10689.5,10728.12,10407.88,10461.42
7/22/2020,10687.58,10745.32,10627.45,10706.13
7/21/2020,10837.88,10839.93,10650.47,10680.36
7/20/2020,10526.02,10783.8,10488.04,10767.09
7/17/2020,10500.52,10532.62,10421.21,10503.19
7/16/2020,10443.87,10499.79,10364.4,10473.83
7/15/2020,10576.72,10604.67,10420.54,10550.49
7/14/2020,10310.25,10497.84,10182.46,10488.58
7/13/2020,10729.92,10824.78,10368.04,10390.84
7/10/2020,10545.91,10622.35,10447.01,10617.44
7/9/2020,10563.72,10578.1,10379.91,10547.75
7/8/2020,10409.35,10494.63,10350.96,10492.5
7/7/2020,10412.46,10518.98,10337.98,10343.89
7/6/2020,10360.38,10462.05,10354.98,10433.65
7/2/2020,10268.67,10310.36,10194.06,10207.63
7/1/2020,10063.67,10197.19,10048.04,10154.63
6/30/2020,9875.28,10085.59,9863.67,10058.77
6/29/2020,9771.72,9877.34,9663.61,9874.15
6/26/2020,9995.12,10000.67,9749.07,9757.22
6/25/2020,9899.36,10023.28,9810.47,10017
6/24/2020,10092.92,10137.5,9842.22,9909.17
6/23/2020,10130.83,10221.85,10112.44,10131.37
6/22/2020,9945.49,10059.6,9916.6,10056.47
6/19/2020,10042.13,10053.91,9872.94,9946.12
6/18/2020,9892.48,9959.2,9885.66,9943.05
6/17/2020,9943.31,9991.21,9891.81,9910.53
6/16/2020,9949.78,9963.63,9748.38,9895.87
6/15/2020,9426.9,9756.07,9403,9726.02
6/12/2020,9715.87,9768.64,9413.63,9588.81
6/11/2020,9791.24,9868.08,9491.31,9492.73
6/10/2020,10012.32,10086.89,9962.58,10020.35
6/9/2020,9867.19,10002.5,9863.27,9953.75
6/8/2020,9823.44,9927.13,9780.61,9924.74
6/5/2020,9703.54,9845.69,9685.35,9814.08
6/4/2020,9649.65,9716.14,9560.41,9615.81
6/3/2020,9651.86,9707.78,9627.18,9682.91
6/2/2020,9566.53,9611.22,9472.09,9608.37
6/1/2020,9471.42,9571.28,9462.32,9552.05
5/29/2020,9382.35,9505.55,9324.73,9489.87
5/28/2020,9392.99,9523.65,9345.28,9368.99
5/27/2020,9346.12,9414.62,9144.28,9412.36
5/26/2020,9501.21,9501.21,9333.16,9340.22
5/22/2020,9278.55,9328.28,9239.41,9324.59
5/21/2020,9375.19,9405.25,9254.85,9284.88
5/20/2020,9305.62,9392.82,9304.2,9375.78
