unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,Index
1599609600,9/9/2020,BCH/USD,222.28,224.1,218.53,222.64,840773.59,3806.41,0
1599523200,9/8/2020,BCH/USD,228.78,230.47,215.9,222.28,5037488.62,22526.33,1
1599436800,9/7/2020,BCH/USD,227.69,229.88,215.78,228.78,6226370.73,27795.53,2
1599350400,9/6/2020,BCH/USD,225.74,233.26,219.2,227.69,5232916.02,23027.0,3
1599264000,9/5/2020,BCH/USD,230.93,234.96,214.5,225.74,13992453.13,62468.0,4
1599177600,9/4/2020,BCH/USD,225.43,239.92,213.44,230.93,12311597.43,53898.69,5
1599091200,9/3/2020,BCH/USD,264.34,266.6,203.93,225.43,13894583.76,57168.43,6
1599004800,9/2/2020,BCH/USD,292.18,295.33,246.0,264.34,13360879.02,49566.23,7
1598918400,9/1/2020,BCH/USD,273.62,297.12,268.87,292.18,10189428.24,36104.83,8
1598832000,8/31/2020,BCH/USD,279.5,281.51,272.98,273.62,5714395.92,20647.69,9
1598745600,8/30/2020,BCH/USD,268.29,279.5,267.88,279.5,4530660.49,16500.16,10
1598659200,8/29/2020,BCH/USD,268.69,272.83,265.96,268.29,4316364.13,16020.5,11
1598572800,8/28/2020,BCH/USD,264.68,272.14,261.19,268.69,5129664.5,19147.33,12
1598486400,8/27/2020,BCH/USD,274.85,277.19,258.44,264.68,6017651.32,22584.75,13
1598400000,8/26/2020,BCH/USD,275.59,279.11,271.42,274.85,4928482.5,17868.12,14
1598313600,8/25/2020,BCH/USD,290.8,291.59,269.0,275.59,7575022.25,27307.85,15
1598227200,8/24/2020,BCH/USD,284.73,294.85,282.2,290.8,6175363.75,21310.05,16
1598140800,8/23/2020,BCH/USD,286.75,288.39,279.0,284.73,3299401.25,11621.67,17
1598054400,8/22/2020,BCH/USD,282.87,287.9,276.04,286.75,6469149.27,22859.64,18
1597968000,8/21/2020,BCH/USD,294.75,305.43,281.33,282.87,11403231.79,39048.2,19
1597881600,8/20/2020,BCH/USD,292.71,296.42,288.73,294.75,7623242.15,26032.83,20
1597795200,8/19/2020,BCH/USD,303.6,309.3,281.02,292.71,11603964.79,39513.99,21
1597708800,8/18/2020,BCH/USD,318.31,325.36,300.76,303.6,14098275.88,45172.9,22
1597622400,8/17/2020,BCH/USD,308.36,325.95,301.27,318.31,19573421.63,62031.59,23
1597536000,8/16/2020,BCH/USD,302.3,313.95,294.04,308.36,14331076.77,46952.71,24
1597449600,8/15/2020,BCH/USD,293.74,309.06,291.0,302.3,15311603.92,50919.38,25
1597363200,8/14/2020,BCH/USD,296.15,298.5,287.3,293.74,9365845.24,31865.88,26
1597276800,8/13/2020,BCH/USD,284.7,297.74,274.37,296.15,10751069.02,37668.93,27
1597190400,8/12/2020,BCH/USD,281.71,290.4,271.0,284.7,10873782.1,38289.48,28
1597104000,8/11/2020,BCH/USD,302.71,305.97,269.69,281.71,14015956.66,48832.87,29
1597017600,8/10/2020,BCH/USD,300.14,309.99,285.8,302.71,9867623.1,32595.92,30
1596931200,8/9/2020,BCH/USD,305.4,309.86,291.61,300.14,8075191.55,26834.93,31
1596844800,8/8/2020,BCH/USD,302.61,309.85,297.87,305.4,7586381.12,25014.69,32
1596758400,8/7/2020,BCH/USD,309.28,326.73,278.0,302.61,22424513.05,72298.35,33
1596672000,8/6/2020,BCH/USD,293.97,319.91,287.57,309.28,15268789.06,49816.52,34
1596585600,8/5/2020,BCH/USD,288.08,299.0,283.99,293.97,9602410.79,32740.0,35
1596499200,8/4/2020,BCH/USD,297.08,303.23,281.51,288.08,10362205.03,35570.25,36
1596412800,8/3/2020,BCH/USD,283.82,304.96,279.59,297.08,12507286.89,42627.7,37
1596326400,8/2/2020,BCH/USD,319.98,338.49,245.0,283.82,33504872.67,114582.59,38
1596240000,8/1/2020,BCH/USD,301.21,321.9,298.37,319.98,19353476.5,62067.04,39
1596153600,7/31/2020,BCH/USD,292.0,306.73,287.41,301.21,11733096.92,39478.45,40
1596067200,7/30/2020,BCH/USD,287.87,300.77,280.91,292.0,11638251.88,40369.81,41
1595980800,7/29/2020,BCH/USD,289.63,294.99,284.87,287.87,11297172.17,38979.13,42
1595894400,7/28/2020,BCH/USD,268.91,297.92,261.68,289.63,24179920.45,85548.65,43
1595808000,7/27/2020,BCH/USD,247.78,275.81,247.38,268.91,21954274.79,83557.19,44
1595721600,7/26/2020,BCH/USD,251.47,257.92,244.38,247.78,7700033.4,30751.51,45
1595635200,7/25/2020,BCH/USD,235.37,253.92,235.11,251.47,9602300.33,39018.11,46
1595548800,7/24/2020,BCH/USD,238.56,239.45,232.63,235.37,4628260.83,19584.32,47
1595462400,7/23/2020,BCH/USD,240.2,243.77,235.0,238.56,5918714.61,24752.12,48
1595376000,7/22/2020,BCH/USD,230.62,240.36,227.75,240.2,6648015.5,28429.44,49
1595289600,7/21/2020,BCH/USD,222.8,232.6,222.3,230.62,3925966.68,17152.39,50
1595203200,7/20/2020,BCH/USD,227.87,228.6,220.9,222.8,2870961.46,12780.02,51
1595116800,7/19/2020,BCH/USD,224.35,228.9,220.3,227.87,2318668.94,10307.78,52
1595030400,7/18/2020,BCH/USD,222.52,226.63,221.75,224.35,2298181.95,10241.82,53
1594944000,7/17/2020,BCH/USD,224.14,225.27,221.71,222.52,2819344.77,12629.5,54
1594857600,7/16/2020,BCH/USD,227.23,227.93,216.66,224.14,4303548.09,19337.27,55
1594771200,7/15/2020,BCH/USD,230.05,230.69,225.7,227.23,3373256.81,14790.14,56
1594684800,7/14/2020,BCH/USD,231.99,231.99,226.45,230.05,3276130.12,14284.21,57
1594598400,7/13/2020,BCH/USD,237.57,237.86,223.75,231.99,7319704.6,31329.03,58
1594512000,7/12/2020,BCH/USD,236.62,239.29,232.0,237.57,2563375.51,10852.79,59
1594425600,7/11/2020,BCH/USD,238.27,239.26,234.61,236.62,2117942.53,8937.14,60
1594339200,7/10/2020,BCH/USD,238.15,240.0,232.49,238.27,3254318.23,13752.54,61
1594252800,7/9/2020,BCH/USD,243.3,245.53,232.78,238.15,4901640.79,20451.31,62
1594166400,7/8/2020,BCH/USD,237.77,245.97,236.04,243.3,5542303.17,22862.12,63
1594080000,7/7/2020,BCH/USD,242.29,244.5,235.0,237.77,4409962.21,18468.24,64
1593993600,7/6/2020,BCH/USD,222.11,243.39,221.8,242.29,9710525.52,41164.79,65
1593907200,7/5/2020,BCH/USD,225.39,225.92,215.73,222.11,2637914.6,11948.3,66
1593820800,7/4/2020,BCH/USD,220.66,230.0,220.17,225.39,2938693.47,13126.91,67
1593734400,7/3/2020,BCH/USD,219.65,224.98,219.15,220.66,3202880.37,14441.37,68
1593648000,7/2/2020,BCH/USD,223.73,225.6,217.3,219.65,3772952.11,17038.21,69
1593561600,7/1/2020,BCH/USD,221.98,226.37,221.09,223.73,1058338.1,4720.98,70
1593475200,6/30/2020,BCH/USD,225.09,226.04,220.4,221.98,3199391.93,14344.44,71
1593388800,6/29/2020,BCH/USD,222.31,227.4,218.02,225.09,4332264.83,19448.0,72
1593302400,6/28/2020,BCH/USD,216.27,225.5,213.28,222.31,4306786.51,19502.62,73
1593216000,6/27/2020,BCH/USD,230.49,231.18,204.26,216.27,6166412.37,28335.99,74
1593129600,6/26/2020,BCH/USD,232.36,233.51,227.81,230.49,2784342.31,12082.92,75
