unix,date,symbol,open,high,low,close,Volume LIN,Volume USD,Index
1599609600,9/9/2020,LINK/USD,11.73,12.0,11.43,11.68,7336960.88,627301.55,0
1599523200,9/8/2020,LINK/USD,12.47,12.79,11.08,11.73,45675051.49,3849775.59,1
1599436800,9/7/2020,LINK/USD,12.81,13.16,11.13,12.47,69876673.05,5725058.94,2
1599350400,9/6/2020,LINK/USD,10.61,13.4,9.755,12.81,85293369.6,7198316.3,3
1599264000,9/5/2020,LINK/USD,12.41,12.75,9.222999999999999,10.61,102260834.7,9548725.55,4
1599177600,9/4/2020,LINK/USD,12.08,12.97,11.05,12.41,71787347.01,5883061.77,5
1599091200,9/3/2020,LINK/USD,14.78,15.0,11.03,12.08,84347799.73,6401677.67,6
1599004800,9/2/2020,LINK/USD,16.08,16.35,14.07,14.78,48729909.63,3237308.0,7
1598918400,9/1/2020,LINK/USD,15.59,16.5,15.13,16.08,46403694.19,2911704.63,8
1598832000,8/31/2020,LINK/USD,16.47,16.98,15.5,15.59,40227832.53,2460342.98,9
1598745600,8/30/2020,LINK/USD,16.37,17.74,16.31,16.47,61671183.81,3613567.59,10
1598659200,8/29/2020,LINK/USD,15.12,17.05,14.96,16.37,69258333.61,4247937.15,11
1598572800,8/28/2020,LINK/USD,14.53,15.5,14.22,15.12,34066734.66,2276994.5,12
1598486400,8/27/2020,LINK/USD,15.2,15.53,14.0,14.53,45742954.95,3094794.93,13
1598400000,8/26/2020,LINK/USD,14.14,15.69,14.06,15.2,61312857.5,4109812.58,14
1598313600,8/25/2020,LINK/USD,15.14,15.38,13.5,14.14,64049460.49,4474531.83,15
1598227200,8/24/2020,LINK/USD,15.15,15.88,14.71,15.14,39709290.38,2605611.81,16
1598140800,8/23/2020,LINK/USD,15.8,16.0,14.65,15.15,57114015.68,3750383.67,17
1598054400,8/22/2020,LINK/USD,13.83,16.36,13.65,15.8,106894557.1,6972955.49,18
1597968000,8/21/2020,LINK/USD,16.05,16.14,12.84,13.83,200316502.4,13916661.57,19
1597881600,8/20/2020,LINK/USD,16.19,16.78,15.75,16.05,63923036.5,3943889.17,20
1597795200,8/19/2020,LINK/USD,16.21,17.25,14.88,16.19,95207182.22,5859137.02,21
1597708800,8/18/2020,LINK/USD,16.85,17.73,14.64,16.21,171083081.7,10445425.9,22
1597622400,8/17/2020,LINK/USD,18.82,19.71,14.64,16.85,116682784.4,6417284.47,23
1597536000,8/16/2020,LINK/USD,19.22,20.0,18.51,18.82,96213572.01,5027747.76,24
1597449600,8/15/2020,LINK/USD,16.98,19.79,16.5,19.22,147346513.4,7939702.64,25
1597363200,8/14/2020,LINK/USD,17.21,17.62,16.35,16.98,109038289.4,6435570.59,26
1597276800,8/13/2020,LINK/USD,16.49,18.35,16.0,17.21,234026833.3,13666933.62,27
1597190400,8/12/2020,LINK/USD,12.97,16.88,12.58,16.49,144881573.9,9698724.06,28
1597104000,8/11/2020,LINK/USD,13.49,13.54,12.12,12.97,72456656.82,5649582.72,29
1597017600,8/10/2020,LINK/USD,13.83,14.1,12.6,13.49,90370429.51,6755853.97,30
1596931200,8/9/2020,LINK/USD,12.73,14.49,12.01,13.83,120879099.8,8982507.94,31
1596844800,8/8/2020,LINK/USD,10.15,13.66,9.939,12.73,117870243.0,9977324.64,32
1596758400,8/7/2020,LINK/USD,10.24,10.3,9.162,10.15,48287899.67,4897766.74,33
1596672000,8/6/2020,LINK/USD,9.533,10.3,9.45,10.24,35853786.8,3668631.79,34
1596585600,8/5/2020,LINK/USD,9.859,9.877,9.321,9.533,36867162.02,3849117.17,35
1596499200,8/4/2020,LINK/USD,9.275,9.976,9.1,9.859,61682740.94,6496847.78,36
1596412800,8/3/2020,LINK/USD,8.286,9.29,8.122,9.275,43274910.18,4993826.98,37
1596326400,8/2/2020,LINK/USD,8.322000000000001,8.78,6.934,8.286,61323836.93,7436280.51,38
1596240000,8/1/2020,LINK/USD,7.81,8.47,7.651,8.322000000000001,31840782.36,3985012.89,39
1596153600,7/31/2020,LINK/USD,7.425,7.89,7.417000000000001,7.81,25828405.82,3357148.18,40
1596067200,7/30/2020,LINK/USD,7.1,7.6339999999999995,7.035,7.425,21586445.84,2931614.96,41
1595980800,7/29/2020,LINK/USD,7.25,7.5,7.0,7.1,22319458.14,3087105.0,42
1595894400,7/28/2020,LINK/USD,7.117999999999999,7.417999999999999,6.92,7.25,25178795.75,3513124.92,43
1595808000,7/27/2020,LINK/USD,7.507999999999999,7.515,6.52,7.117999999999999,61960700.88,8831200.71,44
1595721600,7/26/2020,LINK/USD,7.6770000000000005,7.95,7.31,7.507999999999999,23496565.45,3107347.03,45
1595635200,7/25/2020,LINK/USD,7.445,7.809,7.39,7.6770000000000005,12586392.88,1645537.15,46
1595548800,7/24/2020,LINK/USD,7.912999999999999,7.94,7.39,7.445,16440664.43,2157558.6,47
1595462400,7/23/2020,LINK/USD,7.485,8.1,7.4110000000000005,7.912999999999999,33910937.74,4328967.08,48
1595376000,7/22/2020,LINK/USD,7.3260000000000005,7.65,7.095,7.485,26355036.78,3554503.98,49
1595289600,7/21/2020,LINK/USD,7.239,7.682,6.99,7.3260000000000005,38830111.62,5316660.24,50
1595203200,7/20/2020,LINK/USD,8.087,8.138,7.138999999999999,7.239,38949052.56,5151228.56,51
1595116800,7/19/2020,LINK/USD,7.971,8.21,7.78,8.087,20786938.37,2608256.96,52
1595030400,7/18/2020,LINK/USD,8.26,8.26,7.621,7.971,42004301.65,5274607.49,53
1594944000,7/17/2020,LINK/USD,8.34,8.65,8.199,8.26,31170606.29,3725319.4,54
1594857600,7/16/2020,LINK/USD,8.637,8.87,7.95,8.34,69894421.52,8319348.85,55
1594771200,7/15/2020,LINK/USD,8.142000000000001,8.9,7.8420000000000005,8.637,80494907.86,9558274.97,56
1594684800,7/14/2020,LINK/USD,7.162999999999999,8.47,7.0,8.142000000000001,78382090.1,10067251.66,57
1594598400,7/13/2020,LINK/USD,7.3660000000000005,8.54,6.85,7.162999999999999,126059553.0,16411388.07,58
1594512000,7/12/2020,LINK/USD,6.098,7.4,6.096,7.3660000000000005,57911491.43,8493405.21,59
